Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Publisher_Profile,Cluster
2557,Pac-Man World,PS,1999,Action,Namco,1.21,0.14,0.1,0.04,0.0,0.0,Medium Profile,10
2558,Mass Effect: Andromeda,"PS4, XOne, PC",2017,Role-Playing,Electronic Arts,1.1199999999999999,0.9500000000000001,0.0,0.33,0.0,0.0,High Profile,3
2560,Dead Rising 2,"X360, PS3, PC, PS4, XOne",2010,Action,Capcom,1.35,1.1199999999999999,0.26,0.37,8.0,0.0,Medium Profile,10
2562,Metro: Last Light,"PC, PS3, X360",2013,Shooter,Deep Silver,0.37,0.48,0.03,0.11,0.0,0.0,Medium Profile,2
2565,Banjo-Tooie,N64,2000,Platform,Nintendo,0.82,0.36,0.25,0.06,9.3,0.0,High Profile,12
2566,Pokémon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,0.57,0.43,0.44,0.12,5.7,0.0,High Profile,3
2567,Romancing SaGa 2,SNES,1993,Role-Playing,Square,0.0,0.0,1.17,0.0,0.0,0.0,Low Profile,25
2568,Buzz! The BIG Quiz,PS2,2006,Misc,Sony Computer Entertainment,0.0,1.1,0.0,0.39,0.0,0.0,High Profile,9
2569,State of Decay,PC,2013,Action-Adventure,Microsoft Studios,0.0,0.0,0.0,0.0,0.0,0.0,Medium Profile,31
2570,Tom Clancy's Ghost Recon: Future Soldier,"X360, PS3, PC",2012,Shooter,Ubisoft,1.4,0.8300000000000001,0.11,0.28,0.0,0.0,High Profile,23
2572,Bratz: Forever Diamondz,"DS, GC",2006,Adventure,THQ,0.6,0.92,0.0,0.19,0.0,0.0,High Profile,26
2573,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ,0.99,0.35,0.0,0.14,0.0,0.0,High Profile,26
2575,LEGO Battles: Ninjago,DS,2011,Strategy,Warner Bros. Interactive,1.03,0.33,0.0,0.12,5.0,0.0,Medium Profile,14
2576,Final Fight,SNES,1991,Action,Capcom,0.67,0.17,0.69,0.03,10.0,0.0,Medium Profile,10
2577,Nintendo World Cup,NES,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,0.0,0.0,High Profile,4
2578,Professor Layton and the Mask of Miracle,3DS,2012,Puzzle,Nintendo,0.32,1.05,0.36,0.11,8.4,0.0,High Profile,36
2580,Tamagotchi Connection: Corner Shop,DS,2006,Simulation,Bandai,0.1,0.02,1.12,0.01,0.0,0.0,Medium Profile,8
2582,Wario Land II,GB,1998,Platform,Nintendo,0.7,0.35,0.39,0.04,0.0,0.0,High Profile,12
2584,Disney Sing It: Pop Hits,"Wii, PS2, PS3",2009,Misc,Disney Interactive Studios,1.34,0.36000000000000004,0.0,0.37,6.8,0.0,Medium Profile,19
2585,007: Quantum of Solace,"X360, PS3, Wii, PS2, DS, PC",2008,Shooter,Activision,1.8299999999999998,1.32,0.04,0.67,6.666666666666667,0.0,High Profile,23
2586,Major League Baseball 2K5,"PS2, XB",2005,Sports,2K Sports,1.24,0.5800000000000001,0.0,0.21,0.0,0.0,Medium Profile,17
2587,Fight Night 2004,"PS2, XB",2004,Fighting,EA Sports,1.59,0.35,0.0,0.22,0.0,0.0,High Profile,15
2588,Assassin's Creed III: Liberation,PSV,2012,Adventure,Ubisoft,0.53,0.57,0.06,0.32,0.0,0.0,High Profile,26
2589,Tom Clancy's Splinter Cell: Pandora Tomorrow,"XB, PS2, GC, GBA",2004,Action,Ubisoft,1.45,1.19,0.0,0.24000000000000002,7.949999999999999,9.0,High Profile,1
2590,Imagine: Master Chef,DS,2007,Simulation,Ubisoft,0.39,0.91,0.0,0.17,0.0,0.0,High Profile,20
2591,Super Scribblenauts,DS,2010,Puzzle,Warner Bros. Interactive,1.06,0.3,0.0,0.11,7.9,0.0,Medium Profile,13
2592,Disney Princess,GBA,2003,Platform,THQ,1.04,0.37,0.0,0.06,0.0,0.0,High Profile,12
2593,Kirby & the Amazing Mirror,GBA,2004,Platform,Nintendo,0.8,0.05,0.76,0.03,7.9,0.0,High Profile,12
2594,Mario Golf,"N64, GB",1999,Sports,Nintendo,0.62,0.18,0.96,0.02,9.0,0.0,High Profile,4
2600,Forza Horizon 2,"XOne, X360",2014,Racing,Microsoft Studios,0.91,1.2,0.01,0.18,0.0,0.0,Medium Profile,7
2601,Midway Arcade Treasures,"PS2, XB, GC",2003,Misc,Midway Games,1.18,0.67,0.0,0.2,6.8,0.0,Medium Profile,19
2602,Triple Play 99,PS,1998,Sports,EA Sports,0.81,0.55,0.0,0.1,0.0,0.0,High Profile,4
2604,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,Misc,Konami,0.68,0.25,0.0,0.02,0.0,0.0,High Profile,9
2605,Super Monkey Ball,GC,2001,Puzzle,Sega,0.95,0.37,0.1,0.04,9.0,0.0,High Profile,36
2606,Wall-E,"DS, Wii, PS2, PSP, X360, PS3, PC",2008,Platform,THQ,1.88,1.92,0.0,1.11,6.833333333333333,0.0,High Profile,12
2608,Mortal Kombat 4,"PS, N64",1998,Fighting,Midway Games,1.36,0.7200000000000001,0.0,0.11,0.0,0.0,Medium Profile,16
2610,WCW vs the World,PS,1998,Fighting,THQ,1.17,0.2,0.04,0.05,0.0,0.0,High Profile,15
2612,Battlefield: Bad Company,"X360, PS3",2008,Shooter,Electronic Arts,1.57,0.8200000000000001,0.09,0.32,8.6,0.0,High Profile,23
2615,Homefront,"X360, PS3, PC",2011,Shooter,THQ,1.26,0.98,0.060000000000000005,0.3,6.633333333333333,0.0,High Profile,23
2617,Red Dead Revolver,"PS2, XB",2004,Shooter,Rockstar Games,1.1099999999999999,0.67,0.0,0.21,0.0,0.0,Medium Profile,2
2618,4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0.0,0.0,1.45,0.0,0.0,0.0,High Profile,9
2619,Dragon Ball Z,SNES,1999,Fighting,Bandai,0.0,0.0,1.45,0.0,0.0,0.0,Medium Profile,16
2620,Final Fantasy XIV Online,"PC, PS3",2010,MMO,Square Enix,1.32,0.57,0.28,0.27,5.3,0.0,Medium Profile,42
2621,Game de Hakken!! Tamagotchi 2,GB,1997,Simulation,Bandai,0.0,0.0,1.44,0.01,0.0,0.0,Medium Profile,8
2622,Namco Museum 64,N64,1999,Misc,Namco,1.24,0.17,0.03,0.01,0.0,0.0,Medium Profile,19
2623,One Piece Pirate Warriors,PS3,2012,Action,Namco Bandai Games,0.01,0.24,0.86,0.06,0.0,0.0,Medium Profile,10
2624,Resident Evil Outbreak,PS2,2004,Action,Capcom,0.54,0.35,0.46,0.1,7.1,0.0,Medium Profile,10
2625,Tamagotchi,GB,1997,Simulation,Bandai,0.0,0.0,1.44,0.01,0.0,0.0,Medium Profile,8
2626,Tekken Tag Tournament 2,"PS3, X360, WiiU",2012,Fighting,Namco Bandai Games,0.56,0.51,0.15,0.16,8.1,0.0,Medium Profile,16
2628,Sonic & SEGA All-Stars Racing,"Wii, DS, PS3",2010,Racing,Sega,1.4,1.64,0.0,0.42,8.066666666666668,0.0,High Profile,18
2629,Sega Genesis Collection,"PSP, PS2",2006,Misc,Sega,0.53,0.6,0.0,0.46,8.3,0.0,High Profile,9
2630,Tony Hawk's American Wasteland (Weekly american sales),PS2,2005,Sports,Activision,1.38,0.05,0.0,0.02,0.0,0.0,High Profile,4
2631,The House of the Dead 2 & 3 Return,Wii,2008,Shooter,Sega,0.77,0.5,0.03,0.15,6.5,7.0,High Profile,23
2634,SingStar Pop,PS2,2007,Misc,Sony Computer Entertainment,0.04,1.08,0.0,0.32,0.0,0.0,High Profile,9
2636,Kirby Super Star,SNES,1996,Platform,Nintendo,0.26,0.07,1.09,0.02,0.0,0.0,High Profile,12
2637,SoulCalibur VI,"PS4, XOne",2018,Fighting,Bandai Namco Games,0.7,0.12,0.04,0.15,0.0,0.0,Low Profile,32
2638,Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,0.16,0.03,0.54,0.02,0.0,0.0,High Profile,20
2639,My Word Coach,"DS, Wii",2007,Misc,Ubisoft,0.8300000000000001,0.91,0.0,0.22,0.0,0.0,High Profile,9
2641,Sonic Rivals,PSP,2006,Racing,Sega,0.73,0.43,0.0,0.28,7.0,0.0,High Profile,18
2642,Tiger Woods PGA Tour 2005,"PS2, XB, GC",2004,Sports,EA Sports,1.77,0.53,0.0,0.12,0.0,0.0,High Profile,4
2643,Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1.12,0.2,0.0,0.12,0.0,0.0,Medium Profile,11
2644,NCAA Football 2003,"PS2, XB, GC",2002,Sports,EA Sports,1.71,0.23,0.0,0.22,9.2,0.0,High Profile,4
2645,Frogger 2: Swampy's Revenge,PS,2000,Action,Hasbro Interactive,0.8,0.54,0.0,0.09,0.0,0.0,Low Profile,22
2647,Smarty Pants,Wii,2007,Misc,Electronic Arts,0.52,0.75,0.0,0.16,6.5,0.0,High Profile,9
2649,Kinect Joy Ride,X360,2010,Racing,Microsoft Game Studios,0.92,0.39,0.0,0.12,5.6,0.0,Medium Profile,7
2654,Triple Play 2000,"PS, N64",1999,Sports,EA Sports,1.06,0.55,0.0,0.09,0.0,0.0,High Profile,4
2655,South Park: The Fractured But Whole,"PS4, XOne, PC, NS",2017,Role-Playing,Ubisoft,1.15,0.82,0.0,0.32,9.5,9.5,High Profile,3
2656,Hasbro Family Game Night,"Wii, PS2, DS",2008,Misc,Electronic Arts,1.25,0.75,0.0,0.22,0.0,0.0,High Profile,9
2657,SoulCalibur III,PS2,2005,Fighting,Namco,0.74,0.15,0.13,0.05,8.5,0.0,Medium Profile,16
2658,Cabela's Big Game Hunter,"PS2, GBA",2002,Sports,Activision,0.77,0.56,0.0,0.18,0.0,0.0,High Profile,4
2659,NBA Live 06 (Weekly american sales),PS2,2005,Sports,EA Sports,1.35,0.05,0.0,0.02,0.0,0.0,High Profile,4
2661,NFL Street,"PS2, XB, GC",2004,Sports,EA Sports BIG,1.91,0.30000000000000004,0.0,0.22,8.3,0.0,Low Profile,24
2662,Nintendo Labo: Toy-Con 01 Variety Kit,NS,2018,Misc,Nintendo,0.44,0.34,0.27,0.07,7.7,0.0,High Profile,9
2663,Pokémon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,6.9,0.0,High Profile,3
2664,R.B.I. Baseball 2,NES,1990,Sports,Tengen,0.12,0.0,1.3,0.0,0.0,0.0,Low Profile,24
2666,Super Metroid,SNES,1994,Adventure,Nintendo,0.57,0.12,0.71,0.02,8.0,0.0,High Profile,26
2668,Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,EA Sports,0.8,0.48,0.0,0.14,0.0,0.0,High Profile,4
2669,Medal of Honor: Warfighter,"PS3, X360, PC",2012,Shooter,Electronic Arts,1.24,1.26,0.06999999999999999,0.36,0.0,0.0,High Profile,23
2670,UFC Undisputed 2010,"PS3, X360, PSP",2010,Fighting,THQ,1.81,0.78,0.02,0.34,8.233333333333333,0.0,High Profile,15
2671,Rayman Raving Rabbids,"Wii, X360, DS, PC",2006,Misc,Ubisoft,1.53,0.1,0.02,0.14,6.95,0.0,High Profile,9
2672,Injustice: Gods Among Us,"X360, PS3, WiiU",2013,Fighting,Warner Bros. Interactive Entertainment,1.56,0.9600000000000001,0.01,0.37,0.0,0.0,Medium Profile,16
2674,Hello Kitty Party,DS,2009,Misc,Majesco,0.78,0.51,0.0,0.13,0.0,0.0,Medium Profile,19
2676,Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,0.89,0.74,0.07,0.09,9.0,9.4,High Profile,23
2677,Style Savvy: Fashion Forward,3DS,2016,Simulation,Nintendo,0.08,0.67,0.03,0.05,6.5,0.0,High Profile,20
2680,LEGO Indiana Jones 2: The Adventure Continues,"Wii, DS, X360, PS3, PSP, PC",2009,Adventure,LucasArts,2.87,1.69,0.0,0.62,6.5,0.0,Medium Profile,11
2681,Knockout Kings 2000,"PS, N64",1999,Fighting,EA Sports,1.65,0.6100000000000001,0.0,0.07,0.0,0.0,High Profile,15
2682,Twisted Metal: Black,PS2,2001,Racing,Sony Computer Entertainment,1.19,0.17,0.0,0.05,8.9,0.0,High Profile,18
2683,NASCAR 2005: Chase for the Cup,"PS2, XB, GC",2004,Racing,EA Sports,1.13,0.66,0.0,0.19999999999999998,0.0,0.0,High Profile,18
2688,2Xtreme,PS,1996,Sports,Sony Computer Entertainment,1.15,0.2,0.0,0.05,8.3,0.0,High Profile,4
2689,Anno 2070,PC,2011,Strategy,Ubisoft,0.0,1.14,0.0,0.26,8.7,0.0,High Profile,35
2690,Sonic Advance 3,GBA,2004,Platform,THQ,0.74,0.52,0.08,0.06,0.0,0.0,High Profile,12
2693,Bravely Default: Flying Fairy,3DS,2014,Role-Playing,Nintendo,0.5,0.34,0.49,0.08,8.2,0.0,High Profile,3
2698,Dragon Quest III: Soshite Densetsu e...,SNES,1996,Role-Playing,Enix,0.0,0.0,1.36,0.0,0.0,0.0,Low Profile,25
2701,Gran Turismo 4 Prologue,PS2,2004,Racing,Sony Computer Entertainment,0.0,0.47,0.77,0.17,0.0,0.0,High Profile,18
2703,NFL GameDay 98,PS,1997,Sports,Sony Computer Entertainment,1.58,0.06,0.0,0.04,8.6,0.0,High Profile,4
2705,Pokémon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,5.3,0.0,High Profile,1
2708,Resident Evil - Code: Veronica X,"PS2, GC",2001,Action,Capcom,1.1300000000000001,0.71,0.34,0.21,7.0,0.0,Medium Profile,10
2709,Resident Evil: Revelations Collection,NS,2017,Action,Capcom,0.18,0.0,0.07,0.02,0.0,0.0,Medium Profile,10
2710,Star Ocean: Till The End of Time,PS2,2004,Role-Playing,Square Enix,0.8,0.21,0.55,0.15,7.8,0.0,Medium Profile,5
2714,Colin McRae Rally 3,"PS2, XB",2003,Racing,Codemasters,0.06,1.06,0.02,0.3,0.0,0.0,Medium Profile,7
2719,Street Fighter V,"PS4, PC",2016,Fighting,Capcom,0.64,0.48,0.12,0.22,0.0,0.0,Medium Profile,16
2723,Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Namco Bandai,0.69,0.04,0.22,0.07,8.1,0.0,Medium Profile,8
2725,Pokémon Mystery Dungeon: Gates to Infinity,3DS,2013,Role-Playing,Nintendo,0.44,0.32,0.47,0.07,5.9,0.0,High Profile,3
2726,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1992,Action,Konami,1.05,0.17,0.15,0.02,0.0,0.0,High Profile,1
2729,Hannah Montana: Spotlight World Tour,"Wii, PS2",2007,Action,Disney Interactive Studios,0.99,0.4,0.0,0.27,0.0,0.0,Medium Profile,10
2730,Bakugan: Battle Brawlers,"DS, Wii, PS2, X360, PS3",2009,Action,Activision,2.45,0.26,0.0,0.24000000000000002,6.4,0.0,High Profile,1
2734,Deus Ex: Human Revolution,"X360, PS3, PC, WiiU",2011,Shooter,Square Enix,1.57,1.38,0.09000000000000001,0.43,8.725,0.0,Medium Profile,2
2735,The Sims 2,"PSP, DS, PS2, GBA, GC, PC, XB",2005,Simulation,Electronic Arts,2.72,1.1,0.0,0.5700000000000001,7.566666666666666,0.0,High Profile,20
2740,Duke Nukem: Time to Kill,PS,1998,Shooter,GT Interactive,0.77,0.54,0.0,0.07,0.0,0.0,Low Profile,28
2743,Dave Mirra Freestyle BMX 2,"PS2, GC, XB, GBA",2001,Sports,Acclaim Entertainment,1.17,0.68,0.0,0.19999999999999998,8.0,0.0,Medium Profile,17
2744,LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,0.36,0.69,0.02,0.31,0.0,0.0,High Profile,12
2748,Crysis 2,"X360, PS3, PC",2011,Shooter,Electronic Arts,1.3699999999999999,1.52,0.08,0.47,8.733333333333333,0.0,High Profile,23
2749,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,0.76,0.52,0.0,0.09,3.8,0.0,High Profile,9
2753,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.36,0.37,0.07,8.0,0.0,High Profile,1
2754,Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo,0.68,0.25,0.21,0.02,0.0,0.0,High Profile,36
2755,Paper Mario,N64,2001,Role-Playing,Nintendo,0.58,0.18,0.59,0.02,9.1,0.0,High Profile,3
2756,Personal Trainer: Math,DS,2009,Puzzle,Nintendo,0.48,1.12,0.0,0.08,0.0,0.0,High Profile,36
2757,Pocket Monsters Stadium,N64,1998,Strategy,Nintendo,0.0,0.0,1.37,0.0,0.0,0.0,High Profile,35
2758,Pokémon Pinball: Ruby & Sapphire (Old all region sales),GBA,2003,Misc,Nintendo,0.68,0.38,0.44,0.05,0.0,0.0,High Profile,9
2759,The Final Fantasy Legend,GB,1990,Role-Playing,Square,0.0,0.0,1.1,0.0,6.0,0.0,Low Profile,25
2760,Yu-Gi-Oh! The Duelists of the Roses,PS2,2003,Action,Konami,1.07,0.35,0.0,0.0,7.0,0.0,High Profile,1
2761,Age of Mythology,PC,2002,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01,8.8,0.0,Medium Profile,14
2764,Ridge Racer 7,PS3,2006,Racing,Namco Bandai,0.24,0.7,0.16,0.26,0.0,0.0,Medium Profile,7
2768,Tom Clancy's Ghost Recon 2,"XB, PS2, GC",2004,Shooter,Ubisoft,1.56,0.8,0.0,0.16,5.7,0.0,High Profile,23
2769,Crash Bandicoot 2: N-Tranced,GBA,2003,Platform,Vivendi Games,0.63,0.66,0.0,0.07,7.5,0.0,Low Profile,37
2770,Wolfenstein II: The New Colossus,"PS4, XOne, PC, NS",2017,Shooter,Bethesda Softworks,1.08,0.89,0.01,0.31,8.65,0.0,Medium Profile,2
2771,SingStar Abba,"PS2, PS3",2008,Misc,Sony Computer Entertainment,0.5,0.55,0.0,1.25,0.0,0.0,High Profile,9
2773,Battlefield Vietnam,PC,2004,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,8.5,0.0,High Profile,23
2774,Gradius,NES,1986,Shooter,Konami,0.27,0.08,1.0,0.01,0.0,0.0,High Profile,23
2776,The Legend of Zelda: Tri Force Heroes,3DS,2015,Adventure,Nintendo,0.61,0.34,0.19,0.09,7.4,0.0,High Profile,26
2777,Centipede,"2600, PS",1982,Shooter,Atari,1.62,0.33,0.0,0.05,5.9,0.0,Medium Profile,2
2778,Gardening Mama,DS,2009,Puzzle,Majesco,0.79,0.42,0.01,0.13,6.6,0.0,Medium Profile,13
2779,Dead to Rights,"PS2, XB, GC, GBA",2002,Shooter,Namco,1.32,0.72,0.0,0.2,3.6,0.0,Medium Profile,2
2781,Marvel vs. Capcom 3: Fate of Two Worlds,"PS3, X360",2011,Fighting,Capcom,1.6,0.46,0.14,0.22999999999999998,8.3,0.0,Medium Profile,16
2783,Metroid: Other M,Wii,2010,Action,Nintendo,0.85,0.28,0.13,0.1,7.7,0.0,High Profile,1
2784,Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts,0.7,0.52,0.0,0.13,6.4,0.0,High Profile,9
2785,WWE '13,"PS3, X360, Wii",2012,Sports,THQ,1.34,1.08,0.0,0.34,0.0,0.0,High Profile,4
2786,Dance Dance Revolution (Japan),PS,1999,Simulation,Konami,0.0,0.0,1.26,0.09,0.0,0.0,High Profile,20
2787,Hearts of Iron IV,PC,2016,Strategy,Paradox Interactive,0.0,0.09,0.0,0.01,0.0,0.0,Low Profile,34
2788,Madden NFL 98,PS,1997,Sports,EA Sports,1.29,0.03,0.0,0.03,0.0,0.0,High Profile,4
2790,Disney Princess: Enchanted Journey,"Wii, PS2",2007,Adventure,Disney Interactive Studios,1.33,0.12,0.0,0.13,0.0,0.0,Medium Profile,11
2792,Kirby Air Ride,GC,2003,Racing,Nintendo,1.01,0.11,0.45,0.04,6.4,0.0,High Profile,18
2793,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2004,Role-Playing,Capcom,0.31,0.04,0.96,0.01,0.0,0.0,Medium Profile,5
2795,Shadow The Hedgehog,"PS2, GC, XB",2005,Platform,Sega,1.3900000000000001,0.26,0.0,0.12,4.8999999999999995,0.0,High Profile,12
2800,SingStar Party,PS2,2004,Misc,Sony Computer Entertainment,0.0,1.04,0.0,0.31,0.0,0.0,High Profile,9
2802,Test Drive,"PS2, XB",2002,Racing,Atari,1.2999999999999998,0.26,0.01,0.19999999999999998,0.0,0.0,Medium Profile,7
2805,F1 2010,"PS3, X360, PC",2010,Racing,Codemasters,0.43,1.39,0.09,0.37,8.266666666666667,0.0,Medium Profile,7
2808,Doom 3,"XB, PC",2005,Shooter,Activision,0.9099999999999999,0.47,0.0,0.06999999999999999,7.0,0.0,High Profile,23
2809,The ICO & Shadow of the Colossus Collection,PS3,2011,Adventure,Sony Computer Entertainment,0.67,0.36,0.13,0.18,9.0,0.0,High Profile,26
2810,Donkey Kong Jungle Beat,GC,2005,Platform,Nintendo,0.84,0.22,0.24,0.04,7.9,0.0,High Profile,12
2813,Command & Conquer: Red Alert 2,PC,2000,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,8.9,0.0,High Profile,35
2814,Max Payne 2: The Fall of Max Payne,"PS2, XB, PC",2003,Shooter,Rockstar Games,1.12,0.68,0.0,0.19,8.166666666666666,0.0,Medium Profile,2
2815,MVP Baseball 2004,"PS2, XB, GC",2004,Sports,Electronic Arts,1.7400000000000002,0.24,0.0,0.21,8.9,0.0,High Profile,4
2816,Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004,Platform,Sony Computer Entertainment,1.27,0.05,0.0,0.02,0.0,0.0,High Profile,12
2817,WWE 2K18,"PS4, XOne, NS",2017,Sports,2K Sports,0.94,1.0,0.0,0.3,0.0,0.0,Medium Profile,17
2824,Ni no Kuni: Wrath of the White Witch,PS3,2013,Role-Playing,Namco Bandai Games,0.6,0.51,0.21,0.22,0.0,0.0,Medium Profile,5
2825,Tales of Xillia,PS3,2013,Role-Playing,Namco Bandai Games,0.29,0.2,0.67,0.1,0.0,0.0,Medium Profile,5
2829,Triple Play 2001,PS,2000,Sports,EA Sports,0.74,0.5,0.0,0.09,0.0,0.0,High Profile,4
2831,Corvette,"PS2, GBA, XB",2004,Racing,Global Star Software,1.03,0.63,0.0,0.19,4.9,0.0,Low Profile,27
2832,Grand Theft Auto: Chinatown Wars,"DS, PSP",2009,Adventure,Rockstar Games,0.86,1.06,0.08,0.41000000000000003,9.35,9.6,Medium Profile,11
2837,Fallout 76,"PS4, XOne, PC",2018,Role-Playing,Bethesda Softworks,1.23,0.8200000000000001,0.1,0.31,4.633333333333333,0.0,Medium Profile,5
2838,Need for Speed Underground Rivals,PSP,2005,Racing,Electronic Arts,0.69,0.38,0.02,0.24,7.6,0.0,High Profile,18
2839,Gyromite,NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,0.0,0.0,High Profile,36
2840,Romancing SaGa,"SNES, PS2",1992,Role-Playing,Square,0.06,0.04,1.44,0.01,6.0,0.0,Low Profile,25
2841,TOCA 2 Touring Car Championship,PS,1999,Racing,Codemasters,0.03,1.16,0.02,0.11,0.0,0.0,Medium Profile,7
2842,Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft,0.71,0.48,0.0,0.13,0.0,0.0,High Profile,20
2843,MAG: Massive Action Game,PS3,2010,Shooter,Sony Computer Entertainment,0.77,0.3,0.09,0.16,7.4,9.5,High Profile,23
2844,NFL 2K3,"PS2, XB, GC",2002,Sports,Sega,1.61,0.23,0.0,0.21,9.0,0.0,High Profile,4
2845,Fighting Force,PS,1997,Action,Eidos Interactive,0.73,0.5,0.0,0.09,0.0,0.0,Medium Profile,10
2848,Madden NFL 97,PS,1996,Sports,EA Sports,0.73,0.5,0.0,0.09,0.0,0.0,High Profile,4
2850,The LEGO Movie Videogame,"X360, PS3, 3DS, PS4, WiiU, XOne, PC, PSV",2014,Action-Adventure,Warner Bros. Interactive Entertainment,2.37,2.2800000000000002,0.12,0.61,6.0,0.0,Medium Profile,31
2851,TNN Motor Sports Hardcore 4x4,PS,1996,Racing,ASC Games,0.73,0.5,0.0,0.09,0.0,0.0,Low Profile,27
2853,Thief,"PC, PS4, XOne, PS3, X360",2014,Action,Square Enix,0.78,0.99,0.06,0.26,0.0,0.0,Medium Profile,10
2854,IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,0.64,0.5,0.0,0.17,0.0,0.0,Medium Profile,7
