Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score
585,Guild Wars 2,PC,2012.0,Role-Playing,NCSoft  ,1.01,1.11,,0.25,,
604,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts  ,2.71,3.02,0.08,1.09,8.3,
605,Just Dance 4,Wii,2012.0,Music,Ubisoft  ,4.05,2.21,,0.62,,
606,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo  ,4.12,1.77,0.87,0.19,8.5,
608,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts  ,2.93,2.75,0.17,0.99,9.0,
609,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment  ,3.23,2.35,0.94,0.3,7.8,
612,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment  ,3.28,2.22,0.21,1.02,9.5,9.6
614,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision  ,3.13,2.27,0.28,1.04,9.5,9.6
615,Tomodachi Life,3DS,2014.0,Simulation,Nintendo  ,0.97,2.64,1.98,0.28,7.8,
620,FIFA Soccer 12,PS3,2011.0,Sports,EA Sports  ,0.84,4.33,0.11,1.37,9.2,
622,FIFA 14,PS3,2013.0,Sports,EA Sports  ,0.79,4.77,0.07,0.98,,
623,Fallout 4,PC,2015.0,Role-Playing,Bethesda Softworks  ,0.57,0.72,,0.11,9.0,
625,Red Dead Redemption,PS3,2011.0,Action,Rockstar Games  ,2.82,2.58,0.17,1.0,9.5,
626,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo  ,3.19,1.81,1.03,0.47,8.6,
628,The Legend of Zelda,NES,1987.0,Adventure,Nintendo  ,3.74,0.93,1.69,0.14,9.0,
629,Assassin's Creed III,PS3,2012.0,Action-Adventure,Ubisoft  ,2.65,2.61,0.16,1.08,8.8,
632,Guild Wars,PC,2005.0,Role-Playing,NCSoft  ,0.03,0.0,,0.0,8.7,
634,Red Dead Redemption,X360,2010.0,Action,Rockstar Games  ,3.77,2.03,0.09,0.6,9.5,10.0
635,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks  ,2.57,2.68,0.25,0.99,9.0,
636,Luigi's Mansion: Dark Moon,3DS,2013.0,Adventure,Nintendo  ,2.03,1.88,1.17,0.36,8.6,
639,The Legend of Zelda: Ocarina of Time 3D,3DS,2011.0,Adventure,Nintendo  ,1.42,0.01,0.56,,9.3,
641,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix  ,1.88,0.0,2.33,1.74,9.4,9.5
642,Pokémon Crystal Version,GBC,2001.0,Role-Playing,Nintendo  ,2.55,1.56,1.29,0.99,8.7,
644,Minecraft,PS4,2014.0,Misc,Sony Computer Entertainment  ,1.89,3.13,0.35,0.96,9.4,
645,FIFA 15,PS4,2014.0,Sports,EA Sports  ,0.83,4.49,0.05,0.94,8.1,
646,Kingdom Hearts,PS2,2002.0,Role-Playing,Square EA  ,3.64,1.2,1.49,0.07,8.5,
647,Myst,PC,1995.0,Adventure,Broderbund  ,0.02,2.79,,,8.9,
648,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom  ,2.47,0.83,2.87,0.12,,
649,Driver,PS,1999.0,Action,GT Interactive  ,3.11,2.8,0.02,0.33,8.5,
651,Call of Duty: WWII,XOne,2017.0,Shooter,Activision  ,3.75,1.91,,0.57,,
652,Tekken 7,PS4,2017.0,Fighting,Namco Bandai Games  ,0.6,0.72,0.12,0.26,,
653,Big Brain Academy,DS,2006.0,Misc,Nintendo  ,1.66,2.75,1.6,0.62,7.7,
