Rank,Name,Critic_Score,User_Score
629,Assassin's Creed III,8.8,
632,Guild Wars,8.7,
634,Red Dead Redemption,9.5,10.0
635,The Elder Scrolls V: Skyrim,9.0,
636,Luigi's Mansion: Dark Moon,8.6,
639,The Legend of Zelda: Ocarina of Time 3D,9.3,
641,Final Fantasy XII,9.4,9.5
642,Pokémon Crystal Version,8.7,
644,Minecraft,9.4,
645,FIFA 15,8.1,
646,Kingdom Hearts,8.5,
647,Myst,8.9,
648,Street Fighter II: The World Warrior,,
649,Driver,8.5,
651,Call of Duty: WWII,,
652,Tekken 7,,
653,Big Brain Academy,7.7,
654,Minecraft,,
664,Just Dance,5.4,
667,Metal Gear Solid 4: Guns of the Patriots,9.3,9.8
672,Project Gotham Racing,8.4,
673,Sonic the Hedgehog 2,,
675,StarCraft II: Wings of Liberty,9.3,
676,Tekken 5,9.0,
678,Euro Truck Simulator 2,8.5,
681,Mario Kart: Super Circuit,9.3,
682,Super Mario Sunshine,9.2,
684,Super Mario 3D World,9.5,
688,New Super Mario Bros. U,8.4,
692,Link's Crossbow Training,6.9,
693,Red Dead Redemption 2,,
694,Destiny,,
696,Tekken 2,9.1,
698,Crash Bandicoot 3: Warped,9.3,
701,Super Mario World: Super Mario Advance 2,9.4,
703,LEGO Star Wars: The Complete Saga,8.0,
704,Cooking Mama,6.6,
705,Metal Gear Solid 2: Sons of Liberty,9.5,7.0
706,God of War III Remastered,,
707,Tetris,,
708,Super Mario Advance,8.2,
709,Assassin's Creed II,9.0,
710,Super Smash Bros.,8.4,
712,Assassin's Creed,8.2,8.0
713,LittleBigPlanet 3,,
714,Batman: Arkham City,9.6,
715,Metal Gear Solid,9.3,
716,Forza Motorsport 3,9.2,9.8
717,Arma III,,
718,Detroit: Become Human,8.0,
719,Dragon Quest IX: Sentinels of the Starry Skies,8.6,
720,Final Fantasy IX,9.2,
721,Final Fantasy X-2,8.3,
724,Tomb Raider (2013),8.8,
726,Pokémon Stadium,7.5,
730,Minecraft,,
731,Call of Duty: World at War,8.4,
732,Super Mario Advance 4: Super Mario Bros. 3,9.2,
733,Crash Bandicoot: The Wrath of Cortex,6.9,
734,Super Smash Bros. for Wii U,9.2,
736,Final Fantasy XIII,8.0,9.2
737,Gran Turismo 5 Prologue,8.3,
738,Dr. Mario,,
739,Uncharted: The Lost Legacy,,
740,Assassin's Creed III,,
741,Pokémon Pinball,8.7,
