Rank,Name,Critic_Score,User_Score
6329,World of Outlaws: Sprint Cars 2002,,
6330,BioShock: The Collection,,
6331,LEGO The Hobbit,,
6332,Fantavision,8.0,
6333,Double Dragon,,
6334,Alien Trilogy,8.0,
6335,NBA Live 99,,
6336,Karate,,
6337,Spider-Man 3,4.8,
6338,Luigi's Mansion,7.3,
6339,Dynasty Warriors Gundam,6.4,
6340,X-Men: Next Dimension,,
6341,The Godfather (JP sales),,
6342,Cars: Race-O-Rama,,
6343,Dark Sector,7.2,
6344,James Bond 007: Blood Stone,6.2,
6345,Super Puyo Puyo 2,,
6346,Gauntlet Legends,,
6347,Jurassic World Evolution,,
6348,Ford Racing Off Road,,
6349,NBA Live 07,6.0,
6350,F.E.A.R. 2: Project Origin,8.2,
6351,ICO,8.8,
6352,Silent Hill: Downpour,,
6353,Unreal Tournament III,7.8,
6354,Microsoft Flight Simulator X,,
6355,The Sims 2: Pets,,
6356,2010 FIFA World Cup South Africa,6.8,
6357,Victorious Boxers: Ippo's Road to Glory,,
6358,MySims Racing,,
6359,Densetsu no Stafi,,
6360,Hot Wheels Velocity X,,
6361,Dragon Age Origins: Awakening,8.3,
6362,Inazuma Eleven 3: Sekai e no Chousen!! The Ogre,,
6363,Shadowrun (2007),6.3,
6364,Jake Power: Fireman,,
6365,L.A. Rush,,
6366,Dead Space Extraction,8.2,
6367,Bomberman Hero,,
6369,Doom 64,7.4,
6370,Gods Eater Burst,7.1,
6371,Momotarou Dentetsu V,,
6372,Quest 64,5.4,
6373,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,,
6374,Crash: Mind Over Mutant,,
6375,Commando,,
6376,Viva Pinata: Trouble in Paradise,8.5,
6377,NBA Ballers: Phenom,,
6378,Need for Speed Carbon,7.9,
6379,Payday 2,,
6380,Silent Hill: Shattered Memories,7.3,6.8
6381,FlingSmash,3.8,
6382,Emergency Heroes,,
6383,Deadpool,,
6385,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,,
6386,MTV Music Generator,,
6387,Hamsterz Life,,
6388,"Warhammer 40,000: Dawn of War II",8.7,
6389,Super Momotarou Dentetsu DX,,
6390,World Soccer Winning Eleven 8: Liveware Evolution,,
6391,TrackMania Turbo,,
6392,Madden NFL 17,,
6393,Cars: Race-O-Rama,,
6394,Final Fantasy Crystal Chronicles: Echoes of Time,7.7,
6395,Downhill Domination,,
6396,Life Is Strange: Before the Storm,,
6397,Detective Pikachu,7.1,
6398,Pirates of the Caribbean: Dead Man's Chest,,
6399,Knack 2,6.7,
6400,Spider-Man: Friend or Foe,5.3,
6401,Spider-Man 3,8.0,
6402,Just Dance 2014,7.5,
6403,Inazuma Eleven Go: Chrono Stone - Wildfire / Thunderflash,,
6404,Deadpool,,
6405,World Series of Poker,,
6406,NHL 97,,
6407,Super Dragon Ball Z,,
6408,Kong: The 8th Wonder of the World,,
6409,Two Worlds II,6.5,
6410,Sonic Mania,8.8,
6411,Godzilla: Save the Earth,,
6412,Petz Sports,5.0,
6413,Dance Dance Revolution: Mario Mix,7.0,
6414,Farming Simulator 19,,
6415,Tiger Woods PGA Tour 07,7.1,
6416,FIFA Soccer 13,,
6417,Mat Hoffman's Pro BMX 2,8.1,
6418,Metal Gear Solid: The Essential Collection,9.0,
6419,Rayman Legends,,
6420,MX vs. ATV: Alive,6.9,
6421,SimCity Creator,,
6422,Harry Potter and the Order of the Phoenix,,
6423,Iridion 3D,5.6,
6424,Syphon Filter: Logan's Shadow,8.4,
6425,FIFA Soccer 12,9.1,
6426,Classic NES Series: Pac-Man,5.7,
6427,Imagine: Figure Skater (US sales),,
6428,Destroy All Humans!,,
6429,Dragon Ball Z: Collectible Card Game,6.0,
6430,Circus Atari,,
6431,Dissidia Final Fantasy NT,,
6432,WWE 2K16,,
6433,Disney Infinity 3.0,,
6434,Razor Freestyle Scooter,,
6435,Brothers In Arms: D-Day,6.8,
6436,Disney's Kim Possible 3: Team Possible,9.0,
6437,Rygar: The Legendary Adventure,,
6438,Super Batter Up,,
6439,Kessen II,,
6440,Tomb Raider: Legend,7.2,
6441,Crayon Shin-Chan: Arashi o Yobu Enji,,
6442,Stuart Little 2,,
6443,Red Faction: Armageddon,7.0,
6444,Nickelodeon Team Umizoomi,,
6445,Tak 2: The Staff of Dreams,,
6446,Battlefield: Hardline,,
6447,SingStar Amped,,
6448,Tales of Vesperia,8.0,
6449,Brothers In Arms: Earned In Blood,,
6452,Need for Speed: Hot Pursuit,5.0,
6453,Mario Sports Superstars,6.0,
6454,Dragon Ball Z: Sagas,,
6455,Scooby-Doo,,
6456,Hydro Thunder,,
6457,Crayola: Treasure Adventures,,
6458,The Princess and the Frog,,
6459,NHL FaceOff '97,,
6460,The Legend of Spyro: Dawn of the Dragon,,
6461,WWE SmackDown vs. Raw 2011,,
6462,Brothers In Arms: Road to Hill 30,,
6463,Minecraft: Story Mode - The Complete Adventure,,
6464,State of Decay 2,7.0,
6465,Gremlins,,
6466,The Mark of Kri,,
6467,LEGO DC Super-Villains,,
6468,Jampack Winter 2003 (RP-M),,
6469,Mega Man Star Force 3: Black Ace / Red Joker,5.7,
6470,Rugrats: Castle Capers,,
6471,Crash Nitro Kart,7.7,
6472,Mass Effect Trilogy,,
6473,Wolfenstein: The New Order,,
6474,Boom Blox Bash Party,8.8,
6475,Jak and Daxter: The Lost Frontier,7.5,
6476,Momotarou Dentetsu 11,,
6477,MX vs. ATV Untamed,,
6479,Aliens: Colonial Marines,,
6480,Hyrule Warriors: Definitive Edition,8.0,
6481,Star Wars: Demolition,,
6482,Bloody Roar II,8.2,
6483,Delta Force: Black Hawk Down,,
6484,Space Invaders,,
6485,.hack//Outbreak Part 3,7.1,
6486,Mother 1+2,,
6487,Top Spin,,
6488,The Golden Compass,4.4,
6489,Dora the Explorer: Dora Saves the Snow Princess,,
6490,Country Dance 2,,
6491,Warhawk,,
6492,ATV Offroad Fury Pro,7.6,
6493,LEGO The Hobbit,,
6494,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,,
6495,Billiards,,
6496,Missile Command,,
6497,Harvest Moon DS (US sales),,
6498,Tomb Raider: Underworld,6.3,
6500,Jikkyou Powerful Pro Yakyuu 3,,
6501,We Sing Encore,,
6502,Naruto Shippuden: Ultimate Ninja Storm Revolution,,
6503,Jikkyou Powerful Pro Yakyuu 12,,
6504,Enter the Matrix,6.5,
6505,God Eater 2,,
6506,Scooby-Doo! and the Spooky Swamp,7.6,
6507,NASCAR 2005: Chase for the Cup,,
6508,Skylanders: SuperChargers,,
6509,J-League Excite Stage '95,,
6510,Bleach: The Blade of Fate,8.2,
6512,Band Hero,6.3,
6513,Vin Diesel: Wheelman,6.7,
6514,Phantasy Star Online Episode I & II,8.2,
6515,The Powerpuff Girls: Relish Rampage,3.8,
6516,Attack on Titan: The Last Wings of Mankind,,
6517,iCarly,,
6518,American Girl: Kit Mystery Challenge!,,
6519,The Chronicles of Riddick: Escape From Butcher Bay,,
6521,NFL Head Coach,,
6522,Burnout Dominator,7.8,
6523,Despicable Me: The Game - Minion Mayhem,,
6525,The Sims 3: Ambitions,7.9,
6526,Ghostbusters,,
6527,NHL 15,,
6528,NCAA Gamebreaker 99,,
6529,Area 51,7.7,
6530,Barbie as The Island Princess,,
6531,World Stadium 2,,
6532,Enemy Territory: Quake Wars,6.7,
6533,The New York Times Crosswords,,
6534,NHL 2005,,
6535,Dynasty Warriors: Strikeforce,6.4,
6536,Karaoke Revolution Presents American Idol Encore,,
6537,Brain Challenge,,
6538,Star Wars Jedi Knight: Jedi Academy,,
6539,Major League Baseball 2K11,,
6540,Phoenix,,
6543,Lego Batman 3: Beyond Gotham,7.4,
6544,Command & Conquer: Red Alert 3,7.4,
6545,F.E.A.R. 3,7.8,
6546,Crash of the Titans,,9.2
6547,Terraria,,
6548,Apocalypse,6.7,
6549,Fable Anniversary,,
6550,Yu-Gi-Oh! Destiny Board Traveler,,
6551,My Fashion Studio,,
6552,L.A. Noire,7.9,8.0
6553,The Sims 3: Outdoor Living Stuff,,
6554,Yakuza Kiwami,,
6556,World Soccer Winning Eleven 5 Final Evolution,,
6557,Sphinx and the Cursed Mummy,,
6558,Fatal Fury 2,,
6559,Art Academy: Lessons for Everyone!,8.0,
6561,Boom Blox,8.6,8.9
6566,Pokémon Pinball: Ruby & Sapphire (JP weekly sales),,
6567,Pokémon Puzzle League,,
6568,Rampage World Tour,,
6571,PES 2009: Pro Evolution Soccer,8.4,
6572,Just Dance 4,,
6573,Pirates of the Caribbean: At World's End,,
6574,Brunswick Pro Bowling,,
6575,Style Savvy: Styling Star,8.5,
6576,Tekken Advance,8.3,
6577,Shin Megami Tensei: Persona 3,8.7,
6578,LEGO Rock Band,8.4,
6579,Persona,8.1,
6580,Sega Rally Revo,,
6581,Hot Wheels: Stunt Track Challenge,5.3,
6582,TNA iMPACT!,6.4,
6583,Maze Craze: A Game of Cops 'n Robbers,,
6584,Prey (2017),,
6585,Mobile Suit Gundam,,
6586,Bee Movie Game,6.0,
6587,"Warhammer 40,000: Space Marine",7.3,
6588,SingStar Take That,,
6589,Kane & Lynch 2: Dog Days,6.5,
6590,Final Fantasy Collection,,
6591,Disney Sing It! High School Musical 3: Senior Year,,
6592,Tales of Zestiria,,
6593,Samurai Warriors: Xtreme Legends,,
6594,WWE WrestleMania 21,,
6595,Skylanders: Trap Team,,
6596,NBA Live 2005,8.5,
6597,Naruto Shippuden: Ultimate Ninja Storm Generations,,
6598,Disney Guilty Party,,
6599,NBA Live 10,,
6600,Harry Potter and the Deathly Hallows - Part 1,,
6601,Defender II,,
6602,F.E.A.R. 3,7.8,
6603,WWE Day of Reckoning,8.1,
6604,Worms: Open Warfare 2,8.1,
6605,ATV Quad Power Racing 2,,
6606,Walt Disney World Quest: Magical Racing Tour,,
6607,Skylanders Imaginators,,
6608,Sled Storm,,
6610,Vandal Hearts,7.7,
6611,Virtua Tennis 4,6.4,
6613,Jawbreaker,,
6614,DmC Devil May Cry,,
6615,Celebrity Sports Showdown,,
6616,Scooby-Doo! Mystery Mayhem,,
6617,Mario Golf: Advance Tour,,
6618,Star Ocean 5: Integrity and Faithlessness,,
6619,Sid Meier's Civilization Revolution,8.2,7.6
6620,Silent Hill: Homecoming,7.6,
6621,Discovery Kids: Kitten Corner,,
6622,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,7.5,
6623,Rock Band Country Track Pack,,
6624,Transformers: Dark of the Moon - Autobots/Decepticons,,
6625,Yu-Gi-Oh! Capsule Monster Coliseum,,
6626,Major League Baseball 2K6,7.3,
6627,Jampack Volume 13 (RP-M),,
6628,World Soccer Winning Eleven 9,,
6629,NBA Live 2000,,
6630,"SpongeBob SquarePants: Lights, Camera, Pants!",,
6631,Teenage Mutant Ninja Turtles 2: Battle Nexus,,
6632,Ninja Gaiden 3,,
6633,The Thing,,
6634,Shin Megami Tensei: Devil Survivor Overclocked,7.6,
6635,Van Helsing,,
6636,X-Men Legends II: Rise of Apocalypse,8.3,
6637,Transformers: Fall of Cybertron,,
6638,Sonic & Sega All-Stars Racing Transformed,,
6639,Transformers: Revenge of the Fallen -- Autobots,,
6640,Deadpool,,
6641,Spawn: Armageddon,,
6642,Lego Batman 3: Beyond Gotham,,
6643,The Godfather (US sales),,
6644,World Stadium EX,,
6645,Tiger Woods PGA Tour 2003,,
6646,Tony Hawk's Proving Ground,,
6647,Battlefield 2: Modern Combat,7.6,
6648,Sleeping Dogs: Definitive Edition,,
6649,Petz: Catz 2,,
6650,50 Cent: Bulletproof,,
6651,Densetsu no Stafi 2,,
6652,Dance Dance Revolution: Hottest Party 3,,
6653,Independence Day,,
6654,Skylanders SWAP Force,,
6655,Hey! Pikmin,6.8,
6656,Chocobo Racing,5.4,
6657,LEGO Star Wars II: The Original Trilogy,8.3,
6658,Viking: Battle for Asgard,6.2,
6659,Metal Gear Solid HD Collection,,
6660,EA Sports UFC 3,,
6661,Gundam SEED: Federation vs. Z.A.F.T.,,
6662,The Legend of Spyro: Dawn of the Dragon,,
6663,Family Fest Presents Circus Games,,
6664,Ms. Pac-Man Maze Madness,,
6665,Pro Evolution Soccer 2016,,
6666,Blood Omen: Legacy of Kain,7.8,
6667,The Urbz: Sims in the City (all regions sales),,
6668,Super Bomberman 4,,
6669,G-Force,7.5,
6670,Star Fox: Zero,6.7,
6671,Bomberman II,,
6672,Duke Nukem 64,,
6673,Infinite Undiscovery,6.8,
6674,Mobile Suit Gundam: Gundam vs. Gundam,,
6675,Ben 10 Alien Force: Vilgax Attacks,,
6677,SingStar Queen,6.8,
6678,Tetris Axis,7.8,
6679,Story of Seasons,7.7,
6680,"SpongeBob SquarePants: Lights, Camera, Pants!",,
6681,Madden NFL 12,7.0,
6682,Super Robot Taisen OG: Original Generations,,
6683,Army Men World War: Final Front,,
6684,Samurai Warriors 3,5.1,
6685,Spider-Man: Shattered Dimensions,,
6686,Yu-Gi-Oh! 5D's Tag Force 4,7.0,
6687,Sid Meier's Civilization VI,,
6688,MX Unleashed,,
6689,Puppy Luv: Spa and Resort,,
6690,Jikkyou Powerful Pro Yakyuu 9,,
6691,Grind Session,,
6692,Naruto: Gekitou Ninja Taisen! 3,,
6693,Wario World,7.5,
6694,Thrillville: Off the Rails,,
6695,2014 FIFA World Cup Brazil,7.3,
6696,Crash: Mind Over Mutant,7.5,
6697,Scooby-Doo! Mystery Mayhem,,
6698,Super Breakout,,
6699,Eternal Sonata,8.3,
6701,Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,,
6702,Hyperdimension Neptunia,5.3,
6703,Food Network: Cook or Be Cooked,,
6704,Walk it Out!,,
6705,TimeSplitters 2,,
6706,Robert Ludlum's The Bourne Conspiracy,,
6707,Battlebots: Design & Destroy,4.0,
6708,Wheel of Fortune,,
6709,Need for Speed: Shift 2 Unleashed,8.5,
6710,Karaoke Revolution,,
6711,Star Wars The Clone Wars: Republic Heroes,,
6712,Power Rangers: S.P.D.,,
6713,Jump Start Pet Rescue,,
6714,Child of Eden,8.3,
6715,Naruto: Ultimate Ninja 3 (US sales),,
6716,The Darkness,8.3,
6717,Resistance: Burning Skies,4.8,
6718,SingStar Motown,,
6719,Naughty Bear,4.5,
6720,Metro: Last Light,,
6721,Neon Genesis Evangelion,,
6722,Mobile Suit Gundam: One Year War,,
6723,Tongari Boushi to Mahou no Otana,,
6724,God Eater 2: Rage Burst,,
6725,NFL Blitz 20-03,,
6726,SpongeBob's Atlantis SquarePantis,,
6727,Nicktoons: Attack of the Toybots,,
6728,LEGO DC Super-Villains,7.8,
6729,Remington Great American Bird Hunt,,
6730,Star Wars: Jedi Starfighter,,
6731,Classic NES Series: Metroid,,
6732,Master of Illusion,,
6733,Primal,7.1,
6734,Madden NFL 2002,,
6735,Need for Speed Underground 2,6.5,
6736,007: Quantum of Solace,7.8,
6737,Skylanders Imaginators,,
6738,Trials Fusion,,
6739,Spec Ops: Covert Assault,,
6740,Nicktoons Unite!,,
6741,SSX Tricky,,
6743,Skylanders: SuperChargers,,
6744,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",,
6745,My Spanish Coach,,
6747,NiGHTS into dreams...,9.1,
6748,Crash: Mind Over Mutant,4.8,
6749,NCAA Football 2004,,
6750,DanceStar Party,,
6751,Bionicle,,
6752,MLB 2002,,
6753,MLB 14 The Show,8.2,
6754,TimeSplitters,,
6755,Barnstorming,,
6756,InuYasha: The Secret of the Cursed Mask,,
6757,Barbie: Groom and Glam Pups,,
6758,The Powerpuff Girls: Him and Seek,,
6759,Mega Man Zero 2,,
6760,Just Dance 2017,,
6761,Wonder Project J: Kikai no Shonen Pino,,
6763,NBA 2K13,,
6764,OkamiDen,8.3,
6765,The Fairly Odd Parents: Game Boy Advance Video Volume 1,,
6766,Rocksmith 2014,9.0,
6767,TouchMaster 3,,
6768,Dora the Explorer: Dora Puppy,,
6769,Alpha Protocol,,
6770,Ghostbusters: The Video Game,,
6771,Hunter: The Reckoning Wayward,,
6772,Mischief Makers,6.5,
6773,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,,
6775,WipEout 64,,
6776,"Barbie: Jet, Set & Style!",,
6777,Castlevania: Dawn of Sorrow,8.9,
6778,Deer Drive,,
6779,Petz Bunnyz,,
6780,EyeToy: AntiGrav,,
6781,EverQuest Online Adventures,,
6782,NBA 2K18,7.5,
6783,Asura's Wrath,,8.3
6784,Doom (2016),8.2,9.1
6785,Cool Boarders,,
6787,NHL 19,,
6788,Mobile Suit Gundam: Zeonic Front,,
6789,Atelier Totori: The Adventurer of Arland,7.8,
6790,Monopoly,,
6791,Disney Sing It,,
6792,Petz: Horsez 2,,
6793,Madden NFL 2003,9.1,
6794,Backyard Baseball,,
6795,Destiny: The Taken King,,
6796,Midway Arcade Treasures,,
6797,Sniper Elite III,,
6798,Def Jam Icon,6.6,
6800,Bakugan: Battle Brawlers,,
6801,NHL FaceOff 99,,
6802,SEGA Classics Collection,,
6803,LEGO Marvel's Avengers,,
6804,Sin and Punishment: Star Successor,8.4,
6805,Ben 10 Alien Force: Vilgax Attacks,,
6806,Naruto: Ninja Council 3,,
6808,Dai-2-Ji Super Robot Taisen Z: Hakai-hen,,
6809,Neon Genesis Evangelion 2nd Impression,,
6810,NBA Street,,
6811,Hello Neighbor,,
6812,Juiced: Eliminator,6.6,
6813,The Legend of Spyro: The Eternal Night,,
6814,Mega Man Battle Network,,
6815,Pirates of the Caribbean: At World's End,6.0,
6816,25 To Life,,
6817,NHL 2K6,,
6818,Saints Row IV: Re-Elected,,
6819,Medal of Honor: Rising Sun,6.6,
6820,2010 FIFA World Cup South Africa,6.8,
6821,The Sims,,
6822,Fossil Fighters: Frontier,,
6823,Dog's Life,,
6824,Ben 10 Alien Force: Vilgax Attacks,,
6825,The X Files,,
6826,Super Wagyan Land,,
6827,Rascal,,
6828,Tony Hawk's American Wasteland,8.4,
6829,Command & Conquer 3: Tiberium Wars,7.6,
6830,Famicom Mini: Super Mario Bros. 2,,
6831,Ragnarok Odyssey,,
6832,TRON: Evolution,,
6834,Colony Wars,8.8,
6835,All-Star Baseball 2004,,
6836,Big Strike Bowling,,
6837,NBA 2K11,,
6838,NASCAR Thunder 2002,,
6839,Grandia,8.7,
6840,ESPN NHL 2K5,,
6842,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,,
6843,Hot Wheels World Race,,
6844,Avatar: The Last Airbender - The Burning Earth,,
6845,Guitar Hero: Smash Hits,7.1,
6846,Superman: Shadow of Apokolips,,
6847,Just Dance: Summer Party,,
6848,Horsez,4.0,
6849,NASCAR Kart Racing,,
6850,American Chopper,,
6851,Star Wars Trilogy: Apprentice of the Force,,
6852,LEGO Rock Band,7.4,
6853,Lemony Snicket's A Series of Unfortunate Events,,
6854,JGTC: All-Japan Grand Touring Car Championship,,
6855,Arc the Lad III,,
6856,Petz: Horsez 2,,
6857,NHL 15,,
6858,Test Drive,,
6859,SpongeBob's Truth or Square (US sales),,
6860,How to Train Your Dragon,6.6,
6861,Jikkyou Powerful Pro Yakyuu 11,,
6862,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,,
6864,Army Men: Sarge's Heroes 2,6.0,
6865,Battlefield 1942: The WW II Anthology,,
6866,Dr. Mario 64,6.0,
6867,Jikkyou Powerful Pro Yakyuu 6,,
6869,NFL Blitz 2001,,
6870,Rush 2: Extreme Racing USA,,
6871,Star Ocean: The Last Hope,7.3,8.0
6872,James Bond 007: Everything or Nothing,7.4,
6873,FIFA 14,,
6874,Broken Age,,
6875,NBA Live 06,8.1,
6876,Dragon Quest X,,
6877,MLB 08: The Show,,
6878,Dance Dance Revolution Ultramix 2,,
6879,Mega Man Anniversary Collection,7.5,
6880,Dishonored: Definitive Edition,,
6881,Crash: Mind Over Mutant,,
6882,Mirror's Edge Catalyst,,
6883,Call of Duty: Black Ops II,8.6,
6884,Super Famista 4,,
6885,The Fairly Odd Parents: Game Boy Advance Video Volume 2,,
6886,Cabela's Legendary Adventures,,
6887,Metal Gear Solid: The Legacy Collection,,
6888,NHL Slapshot,7.6,
6889,Harry Potter and the Goblet of Fire,6.7,
6890,Thrillville: Off the Rails,,
6891,Mega Man X6,,
6892,F1 2014,,
6893,Yu-Gi-Oh! GX: Tag Force 2,,
6894,Call of Duty: Advanced Warfare,8.6,
6895,BloodRayne,,
6896,Sonic Gems Collection,6.9,
6897,Farming Simulator 2015,,
6898,Spec Ops: The Line,,
6899,Castlevania: Curse of Darkness,7.2,
6900,International Superstar Soccer Pro '98,,
6901,Jimmy Neutron: Boy Genius,,
6902,Black,,
6903,Solitaire Overload,,
6904,Vanquish,8.3,
6905,Castlevania: The Dracula X Chronicles,8.0,
6906,Double Pack: Finding Nemo / The Incredibles,,
6908,Construction Simulator 2015,,
6910,TERA,,
6911,Lord of the Rings: The Third Age,,
6914,Zack & Wiki: Quest for Barbaros' Treasure,8.7,
6915,Pirates of the Caribbean: At World's End,,
6916,Mega Man Legends 2,,
6917,X-Men vs. Street Fighter,,
6918,Blazing Angels: Squadrons of WWII,6.4,
6919,High Rollers Casino,,
6920,The Suffering,,
6921,Cyber Troopers Virtual-On,,
6922,Star Wars Starfighter: Special Edition,,
6923,Dragon Ball Z: Shin Budokai,7.4,
6924,NBA Jam,,
6925,Zone of the Enders: The 2nd Runner,8.6,
6926,The Smurfs,,
6927,Green Day: Rock Band,7.8,
6928,Jampack Volume 10,,
6929,Dexter's Laboratory Deesaster Strikes,6.5,
6930,NFL GameDay 2004,,
6931,Tomb Raider: The Last Revelation,,
6932,Scooby-Doo and the Cyber Chase,,
6933,Pro Evolution Soccer 2011,,
6934,Football Manager Handheld 2011,,
6935,Sega Rally Championship 2,8.5,
6936,Quake II,,
6937,Crash of the Titans,,
6938,Tom Clancy's HAWX 2,,
6939,MLB 10: The Show,,
6940,Wheel of Fortune: 2nd Edition,,
6942,Tom Clancy's Rainbow Six: Lockdown,,
6943,TimeShift,7.0,
6945,Star Wars The Clone Wars: Republic Heroes,,
6947,Cool Boarders 2001,,
6948,Radiata Stories,7.7,
6949,Grudge Warriors,,
6950,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,,
6951,300: March to Glory,4.9,
6952,Call of Duty: Modern Warfare: Mobilized,7.6,
6953,Mobile Suit Gundam,,
6954,Marvel Super Hero Squad,,
6955,Cars: Race-O-Rama,,
6956,LEGO The Lord of the Rings,,
6957,Jimmy Neutron: Boy Genius,,
6958,X-Men: The Official Game,,
6960,E0: Enemy Zero,,
6961,JumpStart: Escape from Adventure Island,,
6962,Nicktoons: Unite!,,
6963,Farming Simulator 2015,,
6964,NASCAR Racing,,
6965,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,,
6966,Boku no Natsuyasumi 2: Umi no Bouken Hen,,
6967,WWE All Stars,7.6,
6968,Medal of Honor Heroes 2,,
6969,Cars: Mater-National Championship,,
6970,BlazBlue: Continuum Shift,8.7,
6971,Command & Conquer: Red Alert,7.8,
6973,AKB1/48: Idol to Guam de Koishitara...,,
6974,Dig Dug,,
6976,Itadaki Street DS,,
6977,Ogre Battle 64: Person of Lordly Caliber,9.1,
6978,RalliSport Challenge 2,,
6980,SD Gundam G Generation Spirits,,
6981,Shin Megami Tensei: Persona 4,9.2,
6982,Superman: The New Superman Adventures,,
6983,Project CARS,,
6984,Fantastic Pets,,
6985,NiGHTS: Journey of Dreams,7.0,9.1
6986,The Terminator: Dawn of Fate,,
6987,Rogue Galaxy: Director's Cut,,
6988,Transformers: Revenge of the Fallen,3.8,
6989,Armored Core,7.2,
6990,James Patterson Women's Murder Club: Games of Passion,,
6991,Top Spin 4,8.2,
6992,Densha De Go! 2,,
6993,SpongeBob SquigglePants,5.4,
6994,Mass Effect Trilogy,,
6995,Monster Jam: Urban Assault,,
6996,Harry Potter and the Deathly Hallows - Part 1,,
6997,Katamari Forever,7.3,
6998,Madden NFL Football,4.5,
6999,Harvest Moon: Grand Bazaar,,
7000,Sword Art Online: Lost Song,,
7001,Band Hero,6.0,
7002,UEFA Euro 2008 Austria-Switzerland,,
7003,Armored Core 2: Another Age,,
7004,Buzz! Junior: Jungle Party,,
7005,Mortal Kombat: Deadly Alliance,8.6,
7006,NBA 2K11,,
7007,Pro Pinball,,
7008,'98 Koshien,,
7009,NBA 2K9,7.0,
7010,Up,,
7011,Green Day: Rock Band,7.8,
7012,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),,
7013,Nintendo Labo: Toy-Con 03 Vehicle Kit,7.0,
7014,Just Dance 2015,,
7015,Marvel: Ultimate Alliance 2,,
7016,LEGO Harry Potter: Years 5-7,,
7017,Mario no Super Picross,,7.5
7018,"Ed, Edd n Eddy: The Mis-Edventures",4.8,
7019,Jikkyou Powerful Pro Yakuu '94,,
7020,Sword Art Online: Hollow Realization,,
7021,Disney's Tarzan Untamed,,
7022,Battlefield 2: Modern Combat,7.8,
7023,Theatrhythm Final Fantasy: Curtain Call,,
7024,Knockout Kings 2001,,
7025,From Russia with Love,,
7027,Destiny: The Collection,,
7028,NBA Jam,8.0,
7030,Just Dance Kids 2,,
7031,Rune Factory 3: A Fantasy Harvest Moon,8.0,
7032,Naughty Bear,4.4,
7033,Minority Report: Everybody Runs,,
7034,Spider-Man: Web of Shadows,6.6,
7035,Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,,
7036,Six Flags Fun Park,,
7037,NFL GameDay 2002,,
7038,Pengo,,
7039,Mouse Trap,,
7040,Tak and the Power of Juju,,
7041,TNA iMPACT!,6.3,
7042,Eternal Darkness: Sanity's Requiem,9.3,
7043,Beowulf: The Game,4.9,
7044,Cabela's Big Game Hunter 2010,,
7045,Skylanders: SuperChargers,,
7046,NBA Jam,,
7047,Medarot: Kabuto / Kuwagata Version,,
7048,Moshi Monsters: Moshlings Theme Park,,
7049,NBA 2K10,,
7050,Defender,,
7051,NFL GameDay 2003,,
7053,Style Lab: Makeover,,
7054,Taiko no Tatsujin Wii: Dodon to 2 Yome!,,
7055,Congo Bongo,,
7056,Overlord,7.7,
7057,Rapala Pro Bass Fishing 2010,,
7059,Gauntlet: Seven Sorrows,,
7060,Harry Potter: Quidditch World Cup,7.2,
7061,Warriors Orochi 2 (JP sales),,
7062,Dragon Warrior Monsters 2: Tara's Adventure,,
7063,The Chronicles of Narnia: Prince Caspian,,
7064,The Incredibles: Rise of the Underminer,,
7065,Pet in TV,,
7066,The Gunstringer,7.6,
7067,Battalion Wars,,
7068,NBA ShootOut 2000,,
7069,Power Rangers: Dino Thunder,5.3,
7070,Wall-E,,
7071,Samurai Shodown,,
7072,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,7.5,
7073,Sid Meier's Civilization: Beyond Earth,,
7074,Disney Sing It! High School Musical 3: Senior Year,,
7075,MLB 15: The Show,,
7076,James Cameron's Avatar: The Game,6.4,
7078,LEGO The Hobbit,,
7079,Fighting Vipers,8.0,
7080,NCAA GameBreaker 2000,,
7081,Transformers: Fall of Cybertron,,
7082,The Legend of Spyro: Dawn of the Dragon,,
7083,Monster Trucks Mayhem,,
7084,AKB1/48: Idol to Koishitara...,,
7101,Mortal Kombat Mythologies: Sub-Zero,,
7102,NFL Quarterback Club 2000,,
7103,Outcast,,
7105,Project X Zone,6.5,
7108,RR64: Ridge Racer 64,,
7110,Tales of Zesteria,,
7112,The Dukes of Hazzard: Racing for Home,,
7116,Top Gear Rally,,
7120,18 Wheeler: American Pro Trucker,6.0,
7121,Atari Anthology,,
7122,Bugs Bunny: Lost in Time,7.0,
7123,Marvel: Ultimate Alliance,6.9,
7124,Hot Wheels: Beat That!,,
7125,MLB 2006,,
7127,Brunswick Pro Bowling,,
7128,My Virtual Tutor: Reading Adventure First to Second Grade,,
